"filename", "language", "Markdown", "CMake", "YAML", "HTML", "C++", "JSON", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 9, 43, 311
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 585, 0, 0, 0, 115, 9, 709
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 1, 41, 303
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\update\update_refueling_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 561, 0, 0, 0, 0, 8, 569
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 1, 29, 203
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create\create_route_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 528, 0, 0, 0, 39, 8, 575
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\update\update_route_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 1, 31, 223
