"filename", "language", "Dart", "YAML", "Markdown", "JSON", "HTML", "C++", "CMake", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\more_controller.dart", "Dart", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 178
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\more_view.dart", "Dart", 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 507
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_controller.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 114
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_view.dart", "Dart", 596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 612
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_controller.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_view.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 97
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_controller.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 114
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_view.dart", "Dart", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 289
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\reminder_controller.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\reminder_view.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reports\reports_controller.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reports\reports_view.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\root\root_bindings.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\root\root_controller.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\root\root_view.dart", "Dart", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 7, 196
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_controller.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 58
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_view.dart", "Dart", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 20, 563
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\splash_screen.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\routes\app_pages.dart", "Dart", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 200
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\routes\app_routes.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 51
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\app_service.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 163
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\places_service.dart", "Dart", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 167
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\translation_service.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\app_theme.dart", "Dart", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 5, 214
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\constants.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 48
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\database_tables.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 35
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\utils.dart", "Dart", 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 393
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 25, 129
